Respondent ID,Panel ID,"When was the last time you ordered food for delivery from any service (e.g, Deliveroo, Uber Eats, Just Eat)?",Which of the following food delivery apps have you used in the past 12 months? - Deliveroo,Which of the following food delivery apps have you used in the past 12 months? - Just Eat,Which of the following food delivery apps have you used in the past 12 months? - Uber Eats,Which of the following food delivery apps have you used in the past 12 months? - None of these,"Thinking about food delivery services, what new offers, deals, or initiatives, if any, come to mind? If none come to mind, please write N/A below.","And which company or app were those from? If N/A, please write this below.","Have you seen or heard about something called ""Family Dinneroo"" from Deliveroo?",Where have you seen or heard about it? Please select all that apply. - In the Deliveroo app,Where have you seen or heard about it? Please select all that apply. - In an email or notification from Deliveroo,"Where have you seen or heard about it? Please select all that apply. - Social media (e.g., Instagram, TikTok, Facebook)","Where have you seen or heard about it? Please select all that apply. - Online ads (e.g., banners, search results)",Where have you seen or heard about it? Please select all that apply. - On YouTube or while watching videos online,Where have you seen or heard about it? Please select all that apply. - In a Podcast or while listening to music,Where have you seen or heard about it? Please select all that apply. - TV or radio,"Where have you seen or heard about it? Please select all that apply. - Outdoor ads (billboards, bus stops, etc.)","Where have you seen or heard about it? Please select all that apply. - Friends, family, or word-of-mouth",Where have you seen or heard about it? Please select all that apply. - Don't recall,Where have you seen or heard about it? Please select all that apply. - Other,What message or idea do you most remember about Family Dinneroo?,"In your own words, what do you think “Family Dinneroo” is?","Based on what you’ve seen or heard about it so far, how appealing does Family Dinneroo sound to you?","Based on this, how appealing does Family Dinneroo look to you?","In your own words, what do you think this offer is about?",Do you think Family Dinneroo is…,"Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Price / value for money","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Portion size","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Balanced or healthy options","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Choice of restaurants","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Speed or convenience","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Ability to customise meals","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Family-friendly options (something for everyone)","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Other","What, if anything, would make this more appealing to you?",Which of the following best describes your experience with Family Dinneroo?,"Now that you know what Family Dinneroo is, how likely are you to consider ordering it in the near future?",What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t think the meals will be nutritious/balanced enough for weekdays,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t think we’ll get enough food for the price,"What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - My family have very specific needs (likes, dislikes, dietary needs)",What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - We don't eat between 4:30pm and 6:30pm,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - Our window for dinner is tight / I don’t want to risk it being late,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t want the food to arrive cold,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I won’t have time to browse and order,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - It will probably be more than £25,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - Other,"If Deliveroo had this offering in the app tomorrow, how likely are you to click in and browse available restaurants?",Age,Gender,UK Region MD,U 16 HH
9decf154-9dc9-4219-95ee-0fa9239b01cdyffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,n/a,n/a,Maybe / not sure,No,No,Yes,No,Yes,No,No,No,No,No,No,advertising delivery,family dinner delivery,Not very appealing,Not very appealing,not expensive delivery dinner for a family,Not sure,No,No,No,Yes,No,No,No,No,"It looks like too American from the 60s.. a bit more innovative and up to date UK style, please ","I've heard of it, but I haven't decided if I'll try it",Somewhat likely,,,,,,,,,,Might do if convenient,55,Female,Core London,Other HH
32b428fd-b8a2-4263-98b8-56577088af3eyffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,N/A,N/A,Maybe / not sure,No,No,No,No,No,No,No,No,No,Yes,No,N/A,A family meal,Very appealing,Very appealing,Feeding family at an affordable price,Excellent value,Yes,No,Yes,No,No,No,Yes,No,N/A,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,18 24,Female,Core London,U 16 In HH
3c74be21-969b-462e-bd18-8727b9b137bbyffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Using deliveroo offer to feed a whole family for a low amount ,Good value,Yes,Yes,Yes,No,No,No,No,No,It is just like any other food advertisement board ,,Somewhat unlikely,No,Yes,No,No,No,Yes,No,Yes,No,Unlikely,25 34,Female,South England Wales,Other HH
2e565d89-a083-4911-ba55-5d71b2f4a3e4yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,None,Uber,"Yes, definitely",Yes,No,Yes,No,No,No,No,No,No,No,No,Package for whole family ,Family size dinners ,Very appealing,Very appealing,It’s a good package ,Excellent value,No,Yes,Yes,Yes,No,No,No,No,Good cause ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,25 34,Female,Core London,U 16 In HH
2fcdd2d9-88c9-4f71-9457-e9cfdc0bad0eyffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,N/A,Sainbury’s,"Yes, definitely",No,No,Yes,Yes,No,No,No,No,No,No,No,How it’s nice and the best,It’s a family maxi dinner,Very appealing,Very appealing,It’s a promo. To order a family meal ,Excellent value,No,No,Yes,Yes,Yes,No,No,No,Nothing much ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Female,Greater London,U 16 In HH
33993324-c986-4ccf-99de-faa8c786d5acyffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,A set low fee for a family taraway meal at certain times each day,Poor value,Yes,No,No,Yes,No,No,Yes,No,A lower price. ,,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,55,Female,South England Wales,Other HH
f40d266a-20d9-4464-88c9-4109a4719207yffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,A set menu deal for 4-5 people,Poor value,Yes,No,No,Yes,Yes,No,No,No,cheaper price,,Somewhat unlikely,No,Yes,No,No,No,No,No,No,I'm living alone,Unlikely,25 34,Male,South England Wales,Other HH
77720497-bbed-4bd2-b005-d5ee20c7d2e1yffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,Uber,Uber eat,"Yes, definitely",No,No,Yes,Yes,No,No,No,Yes,No,No,No,Food,Brand ,Very appealing,Very appealing,Very appealing ,Excellent value,No,No,No,No,Yes,No,No,No,Not bad,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,45 54,Male,Core London,U 16 In HH
863fa909-e365-400e-9fb7-a42075ce9084yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,ORGANIC MENU ,MCDONALDS,"Yes, definitely",No,No,Yes,No,No,No,No,No,No,No,No,SET OF FAMILY FRIENDLY MEALS,"A FAMILY FRIENDLY SHAREABLE MEAL 
",Very appealing,Very appealing,FEEDING THE FAMILY ,Good value,Yes,No,Yes,No,No,Yes,No,No,THE GOOD VALUE FOR MONEY ,"I've heard of it, but I haven't decided if I'll try it",Somewhat likely,,,,,,,,,,Definitely would,25 34,Female,North England,U 16 In HH
5e599691-101e-4f1d-bbd7-bf13cfc69193yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,No delivery charge ,Just way ,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Very run of mill,Good value,Yes,No,No,Yes,Yes,No,No,No,Just looks too busy,,Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Female,South England Wales,Other HH
bd3485ee-1e5f-477c-9ee6-87fbc0529105yffknfw,4pzacubs3vg,1-3 months ago,Yes,No,No,No,dominos Tuesday ,dominoes,Maybe / not sure,No,No,Yes,No,No,No,No,No,Yes,No,No,they have a good deal ,to feed all,Somewhat appealing,Somewhat appealing,under 20 pounds ,Good value,Yes,Yes,Yes,No,No,No,No,No,more menu options ,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,South England Wales,U 16 In HH
dd0cffee-9fdf-44e1-a6fd-d21da4d08110yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,"Grocery deliveries, pharmacy deliveries",Uber Eats,"Yes, definitely",No,No,No,No,No,No,Yes,No,No,No,No,Saves you time ordering for the family so you can continue what you are doing without worrying about dinner,Ordering dinner for the family,Somewhat appealing,Very appealing,Spend £25 to feed the family dinner,Good value,Yes,No,No,No,No,Yes,Yes,No,There is something for everyone's tastes,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Definitely would,45 54,Female,Core London,U 16 In HH
181667f3-ff85-438f-ab5c-61077153e7fcyffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Free delivery,Just eat,"Yes, definitely",No,No,No,Yes,No,No,No,No,No,No,No,Cheaper to order,Family dinner for all,Very appealing,Very appealing,Feed the family for under £25,Excellent value,Yes,Yes,No,No,No,No,Yes,No,More value for free,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,55,Male,North England,U 16 In HH
91ad170f-8ff3-405c-acba-4ce0adebc665yffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,Cheeky Tuesday ,I think deliveroo ,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,I think it's great for people on a budget can feed the whole family for 25 or less,Good value,Yes,Yes,Yes,No,No,No,No,No,Healthy options because eating fast food frequently isn't good for your health ,,Somewhat likely,,,,,,,,,,Definitely would,35 44,Female,South England Wales,Other HH
d746f674-d4d0-48b5-9033-dffd81bb242eyffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,£1 delivery,just eat,"Yes, definitely",No,No,No,No,No,No,Yes,No,No,No,No,order family meals from £25,a delivery service which caters for families,Somewhat appealing,Somewhat appealing,Getting a family meal delivered to your day,Good value,Yes,Yes,No,No,No,Yes,No,No,I think it covers everything needed,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Definitely would,45 54,Male,South England Wales,U 16 In HH
06d08b4d-2815-40dd-9594-77211bcec51eyffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,N/A,Just eat ,Maybe / not sure,Yes,No,No,No,No,No,No,No,No,No,No,N/A,Family meals,I’m not sure what it is / I don't know enough to say,Somewhat appealing,Feeding the family ,Good value,Yes,Yes,No,No,No,No,Yes,No,N/A,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Male,South England Wales,Other HH
4972e83c-8198-4233-8f78-ecf7c94418fayffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Combo,Ubereats,"Yes, definitely",Yes,No,No,No,No,No,Yes,No,No,No,No,Tasty meal,Excellent,Very appealing,Very appealing,Feeding the whole family,Excellent value,Yes,No,No,No,Yes,Yes,No,No,It is okay like this,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,25 34,Female,Core London,U 16 In HH
ece50342-e444-4bcc-98b7-f3cf8dc0e234yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,n/a,n/a,Maybe / not sure,No,No,No,No,No,No,Yes,No,No,No,No,it’s for the whole family ,a delivery service of ingredients to make a family meal ,Not very appealing,Somewhat appealing,feeding a family on a set budget ,Fair value,No,No,Yes,No,Yes,No,Yes,No,free stuff ,"I've heard of it, but I haven't decided if I'll try it",Neither likely nor unlikely,,,,,,,,,,Might do if convenient,55,Male,North England,Other HH
f4e33edf-e8e9-40a0-b2e6-69941c5296fdyffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,A good deal on a family order,Good value,Yes,No,No,Yes,Yes,No,No,No,Nothing,,Very likely,,,,,,,,,,Definitely would,55,Female,North England,Other HH
e3f41ab8-aa20-466f-8ba1-6b63d5497973yffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,Na,N/A,Maybe / not sure,No,No,No,No,No,No,Yes,No,No,No,No,Easy ordering ,Large  amounts of  food,Somewhat appealing,Somewhat appealing,Not bad value,Fair value,Yes,Yes,No,Yes,No,No,No,No,Long than 2 hours ,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,55,Female,North England,Other HH
1cb4f6a5-18b4-471e-a570-ccfc4c9fb330yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Nothing ,None ,"Yes, definitely",No,No,Yes,Yes,No,No,No,No,No,No,No,Dinner for the whole family ,A place for families to dine,Very appealing,Very appealing,It's all about family dinner ,Excellent value,No,Yes,Yes,No,No,Yes,No,No,More offers ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,25 34,Female,North England,U 16 In HH
283496f7-64c6-41d7-8069-8478a89a99dcyffknfw,4pzacubs3vg,4-12 months ago,Yes,Yes,Yes,No,N/A,N/A,"Yes, definitely",No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,It is great quality ,A family meal ,Somewhat appealing,Very appealing,It’s reliable ,Excellent value,Yes,No,No,No,No,No,No,No,This is a good deal ,I’ve already ordered using Family Dinneroo,Somewhat likely,,,,,,,,,,Definitely would,35 44,Female,South England Wales,U 16 In HH
44ecd3db-7a84-4b09-8c2d-c1c8e25ffa78yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,N/A,N/A,"Yes, definitely",No,No,No,No,Yes,No,No,No,No,No,No,I love it,Eating together ,Very appealing,Very appealing,Eating together ,Good value,No,No,No,No,No,No,Yes,No,Yes very appealing ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Female,Greater London,Other HH
78a74821-ae1d-4b0c-9277-79e0dd5707d3yffknfw,4pzacubs3vg,1-3 months ago,Yes,No,No,No,N/A,Tesco,"Yes, definitely",Yes,No,No,Yes,No,No,No,No,No,No,No,Its convenience for family,A family dinner,Somewhat appealing,Somewhat appealing,I think this offer is an offer convenient for families.,Good value,No,No,Yes,Yes,No,No,Yes,No,I think it looks appealing to me ,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,Core London,U 16 In HH
603cf743-9bdb-4c35-833f-ee7320f1a74byffknfw,4pzacubs3vg,1-3 months ago,No,No,Yes,No,"Buy one, get one free",Uber eats,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Food,Excellent value,Yes,Yes,No,No,No,Yes,No,No,Fast delivery,,Very likely,,,,,,,,,,Definitely would,35 44,Female,South England Wales,U 16 In HH
84b39fe2-b272-4b21-bf42-5ab51587361dyffknfw,4pzacubs3vg,1-3 months ago,Yes,No,No,No,Free delivery ,Deliveroo ,Maybe / not sure,Yes,No,No,No,No,No,No,No,No,No,No,Nothing ,"What it says, dinner family food delivery ",Not very appealing,Not very appealing,It's just a puff piece,Good value,Yes,No,No,No,Yes,No,Yes,No,Nothing at all ,"I've heard of it, but I'm not interested in trying it",Somewhat unlikely,No,Yes,No,No,No,No,No,No,No,Unlikely,35 44,Female,South England Wales,U 16 In HH
67c50575-6c96-49b8-94b2-92122c19991eyffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,50% off Next 5 orders ,Uber Eats ,"Yes, definitely",No,No,Yes,No,No,No,No,No,No,No,No,About they services ,Family Dinneroo is a meal deal brand where you can feed up to 4 people for £25 or lesser ,Very appealing,Very appealing,Is for Meal deal ,Excellent value,Yes,No,No,No,Yes,No,Yes,No,Fast delivery would make it more appealing to me ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,35 44,Female,North England,Other HH
931e3837-a2d2-47da-92f9-9106196cba9dyffknfw,4pzacubs3vg,4-12 months ago,Yes,No,No,No,Justeat,Na,Maybe / not sure,Yes,No,No,No,No,No,No,No,No,No,No,Nothing ,Foods delivered ,Somewhat appealing,Somewhat appealing,Reliable ,Good value,No,No,No,No,No,No,Yes,No,Relevant ,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Female,South England Wales,Other HH
4faa5fe7-807b-4d80-bbfe-987ce37e0b8dyffknfw,4pzacubs3vg,1-3 months ago,Yes,No,No,No,N/A,Deliveroo,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Dinner for the family Mon to.thursday for under 25,Good value,No,Yes,Yes,Yes,No,No,No,No,Some of the brands available to eat from ,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Male,Core London,U 16 In HH
9cb9e711-95ff-4311-874b-469ec15d8e39yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Uber eats ,Uber eats ,"Yes, definitely",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Quality services ,Family dinner,Very appealing,Very appealing,It's about family dinneroo ,Good value,No,No,Yes,No,No,No,No,No,It's visually appealing ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,18 24,Female,Core London,U 16 In HH
da2b4c92-ffb9-4540-809f-1334c4ff25a4yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,N/A,Burger King,"Yes, definitely",No,No,Yes,No,No,No,No,No,Yes,No,No,They offer quality services,They are very good in what they do.,Somewhat appealing,Very appealing,A discount or subsidised price for family orders,Good value,Yes,No,Yes,No,No,No,Yes,No,"The picture and the write up, it looks assuring and captivating ","I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,25 34,Male,Core London,U 16 In HH
1c63bd2e-515c-4a2f-8500-7a82a54611feyffknfw,4pzacubs3vg,4-12 months ago,No,Yes,No,No,Just eat ,Drive too ,Maybe / not sure,No,No,Yes,No,Yes,No,No,Yes,No,No,No,What they offer and the sites they use ,Good quality ,Somewhat appealing,Very appealing,What they offer and the type of deals ,Good value,No,Yes,No,No,No,No,No,No,More variable of people ,"I've heard of it, but I'm not interested in trying it",Very likely,,,,,,,,,,Might do if convenient,25 34,Male,South England Wales,Other HH
1f167bcd-8b89-479e-af97-35e1e1331a59yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,Free delivery and money off ,Uber eats,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Take away that feeds the whole family for under £25,Fair value,Yes,No,Yes,Yes,No,No,No,No,If it was less than £20,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,South England Wales,U 16 In HH
0813c3d3-6e23-4f20-9127-239b72cd69dbyffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,N/A,N/A,Maybe / not sure,No,No,No,No,No,No,No,No,No,Yes,No,N/A,Deals for family’s who use deliveroo,Somewhat appealing,Very appealing,Feed the family with a discount ,Good value,Yes,No,Yes,No,No,Yes,No,No,Nothing ,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,18 24,Female,South England Wales,Other HH
aa809b1b-7d07-4715-8b57-e23ae7069a86yffknfw,4pzacubs3vg,1-3 months ago,Yes,No,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Looks good. Family of 4 for £25. Cheaper than a restaurant ,Excellent value,Yes,No,No,No,Yes,Yes,No,No,Monday to Sunday. Maybe an extra pound or 2,,Somewhat likely,,,,,,,,,,Might do if convenient,55,Male,Core London,Other HH
4927ef93-2c67-4dbb-bc6b-292f5e84b77byffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,Na,Na,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,Just a promo offer,Fair value,Yes,No,No,No,No,No,No,No,Being from just eat,,Somewhat unlikely,No,No,No,No,No,No,No,No,Don't like deliveroo ,Definitely would not,55,Male,North England,Other HH
c6f1dd4e-0070-47e3-9fd8-9923719cb483yffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,Na,Na,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Enough food for a whole family for £35 or under,Excellent value,No,Yes,No,Yes,No,Yes,No,No,It seems too good to be true ,,Somewhat likely,,,,,,,,,,Definitely would,25 34,Female,Core London,Other HH
bc96272b-cf3f-4b07-9b10-fcca0126dd0ayffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,Buy one get one free deals,Deliveroo,"Yes, definitely",No,No,Yes,No,No,No,No,No,Yes,No,No,Meaningful conversation ,Sharing meal together as a family,Very appealing,Very appealing,Sharing meal together as a family ,Excellent value,No,Yes,Yes,No,No,No,Yes,No,Family size portion ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,25 34,Male,Core London,U 16 In HH
e7382d9c-f83f-4e4d-875d-3e7d2d5a83cayffknfw,4pzacubs3vg,In the past month,Yes,No,No,No,Just eat ,Just eat ,"Yes, definitely",No,No,Yes,Yes,No,No,No,No,Yes,No,No,It’s delivers food and drinks in a family size box ,Family dinner ,Very appealing,Very appealing,I think this offer is about a family size kind of setting where the whole family gets to eat dinner ,Excellent value,No,Yes,Yes,No,No,No,Yes,No,I think this idea is great just the way it is and it’s truly satisfactory ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,18 24,Male,Core London,U 16 In HH
79668b27-556e-474f-811b-e2e279638cbayffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Special offers,Good value,Yes,Yes,Yes,No,No,No,No,No,Nothing,,Somewhat likely,,,,,,,,,,Might do if convenient,55,Female,South England Wales,Other HH
a5df6117-3ccf-44dd-9268-909a274f642fyffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,Subscription Bundling,Uber eat,Maybe / not sure,No,No,No,Yes,No,No,No,No,No,No,No,"Delivery can be a convenient, affordable, and stress-reducing solution for the midweek family meal, not just a weekend treat.",Meal brand ,Very appealing,Very appealing,As low as £25 you can feed a hole family ,Excellent value,No,No,Yes,No,No,No,No,No,Healthy food ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,35 44,Male,Core London,U 16 In HH
0e21e64f-7cba-4ae7-a2db-f8cae49f92d0yffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,Deliveroo plus,Deliveroo ,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Offer deals for family meals ,Fair value,Yes,No,No,No,Yes,No,Yes,No,Brighter colours,,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,35 44,Female,South England Wales,U 16 In HH
d6d5404f-06b3-4cf3-bece-136e2a6bb857yffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,NA,NA,Maybe / not sure,No,No,No,Yes,Yes,No,No,No,No,No,No,NA,NA,Somewhat appealing,Very appealing,Looks good and happy,Good value,No,No,Yes,No,No,Yes,No,No,NA,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Definitely would,18 24,Female,South England Wales,Other HH
c38cc4e6-c970-486e-9ca4-45821404c4a8yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Feeding the family,Good value,Yes,No,No,Yes,Yes,No,No,No,It is unique and grabs my attention,,Very likely,,,,,,,,,,Definitely would,18 24,Male,Core London,Other HH
417e66c5-4e81-4725-9625-0cb0e5d938fayffknfw,4pzacubs3vg,1-3 months ago,Yes,No,No,No,15% off,Deliveroo,Maybe / not sure,Yes,No,No,Yes,No,No,No,No,No,No,No,don't know ,group discount ,Somewhat appealing,Somewhat appealing,every meal below £25,Fair value,Yes,No,No,Yes,No,No,No,No,more offers ,I’ve already ordered using Family Dinneroo,Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Male,Core London,Other HH
5b8ef67e-c50f-4a15-9ad8-b2dc9fe0166dyffknfw,4pzacubs3vg,In the past month,Yes,No,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,A deal for the whole family,Fair value,No,Yes,Yes,Yes,No,No,No,No,if it was cheaper,,Very likely,,,,,,,,,,Might do if convenient,25 34,Female,South England Wales,Other HH
bde7c03b-d0a4-48c4-9ff5-925c8a8d3b9cyffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No, To make delivery easy and to reduce food spillage during the course of transportation ,Deliveroo,"Yes, definitely",Yes,No,No,No,No,No,No,No,No,No,No,I remember that you can order food for the whole family ,It means they caters for the family diner,Very appealing,Very appealing,It’s about a family takeout that isn upto £25 or less ,Excellent value,No,Yes,Yes,No,Yes,No,No,No,It’s already appealing to me,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Female,North England,U 16 In HH
5a8836fc-2fe3-45f2-93ec-193725ea5744yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,Discounts,Uber eats,Maybe / not sure,Yes,No,Yes,No,No,No,No,No,No,No,No,Dinner for family ,Amazing idea ,Somewhat appealing,Very appealing,Family dinner ,Good value,Yes,No,No,Yes,No,Yes,No,No,Food quality ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Might do if convenient,35 44,Female,Core London,U 16 In HH
a7de5ad1-d6a4-4bac-ba4c-48e7099cb93ayffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,Cashback rewards,Just Eat ,"Yes, definitely",Yes,No,Yes,Yes,No,No,No,No,No,No,No,Convenience and affordability ,"Family Dinneroo is a Deliveroo service offering curated, shareable meals for families, making mealtime easier and convenient.",Very appealing,Very appealing,"The offer is a Deliveroo promotion called “Family Dinneroo” that lets you feed a family of 4 for £25 or less, providing convenient, affordable meals delivered to your home.",Excellent value,Yes,No,No,Yes,Yes,No,No,No,Avoid to much writings,"I've heard of it, but I haven't decided if I'll try it",Very likely,,,,,,,,,,Definitely would,25 34,Female,South England Wales,U 16 In HH
af9e8383-cb41-4cde-a405-bce7d8edfa26yffknfw,4pzacubs3vg,1-3 months ago,Yes,Yes,No,No,"Uber eat
Just eat",Tesco,"Yes, definitely",Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Quality,Great service ,Somewhat appealing,Somewhat appealing,Deed,Good value,No,Yes,Yes,Yes,No,No,No,No,Good service,I’ve already ordered using Family Dinneroo,Somewhat likely,,,,,,,,,,Unlikely,25 34,Male,Core London,U 16 In HH
c42a517f-3723-473f-9727-47fb1df31174yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,Uber one ,Uber eats ,Maybe / not sure,No,No,Yes,No,No,No,No,No,No,No,No,Not much just the name ,A family meal deal ,Somewhat appealing,Very appealing,Aand offer for a family of four ,Excellent value,Yes,Yes,No,No,No,No,Yes,No,Nothing I can think of ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,35 44,Female,South England Wales,U 16 In HH
82c786e9-8eac-4499-94fe-6a97bf121907yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,Free delivery when spending over a certain amount on food.,Just Eat,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,A deal to feed the whole family. ,Good value,Yes,No,No,Yes,No,No,Yes,No,Not just restricted to Mon - Thurs,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,South England Wales,U 16 In HH
